Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,MQ Publication Date,MQ Assessment Date,Level,Performance Compared to Previous Year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Does the company disclose its membership and involvement in organisations or coalitions dedicated specifically to climate issues?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,CP Publication Date,CP Assessment Date,Benchmark ID,Carbon Performance Alignment,Carbon Performance Alignment Year,Previous Carbon Performance Alignment,Previous Carbon Performance Alignment Year,History to Projection Cutoff Year,CP Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Assumptions
NovaTek,Russia,RUS,Oil & Gas,No,large,"RU000A0DKVS5, US6698881090","B59HPK1, B0DK750",01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2020,Emissions intensity (gCO2e / MJ),,59.12353999,60.16524377,61.37867336,60.61472343,60.73572341,61.90542877,61.4487567,61.48483423,61.52091177,61.55698931,61.59306684,61.62914438,61.66522191,61.70129945,61.73737698,61.77345452,61.80953205,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure. The company has set further targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology."
Novolipetsk Steel,Russia,RUS,Steel,No,large,"RU0009046452, US67011E2046","B59FPC7, B0RTNX3",01/11/2021,31/03/2021,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Not applicable,No,No,No,No,No,No,No,01/02/2021,23/12/2020,Steel_01/02/2021,Not Aligned,,Not Aligned,,2019,Carbon intensity (tonnes of CO2 per tonne of steel),,,2.04,1.98,1.97,1.96,2.04,2.015,1.99,1.965,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
Nucor,United States of America,USA,Steel,No,medium,US6703461052,2651086,01/11/2021,31/03/2021,2,up,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Not applicable,No,Yes,No,No,No,No,No,01/02/2021,23/12/2020,Steel_01/02/2021,No or unsuitable disclosure,,No or unsuitable disclosure,,,Carbon intensity (tonnes of CO2 per tonne of steel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on current emissions, or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance."
Nutrien,Canada,CAN,Chemicals,No,large,CA67077M1086,BDRJLN0,01/11/2021,31/03/2021,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OGE Energy,United States of America,USA,Electricity Utilities,No,small,US6708371033,2657802,01/11/2021,31/03/2021,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Not applicable,No,Yes,No,No,No,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Not Aligned,,,,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,0.71,0.63,0.65,0.662,0.626,0.552,0.54483864,0.537677279,0.530515919,0.523354558,0.516193198,0.509031837,0.501870477,0.494709116,0.487547756,0.480386396,0.473225035,,,,,,,,,,,,,,,,,,,,,"The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS)."
OMV,Austria,AUT,Oil & Gas,Yes,large,AT0000743059,4651459,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2020,Emissions intensity (gCO2e / MJ),,,,63.0089673,62.89024465,62.31180946,61.46889705,61.16235144,60.85853757,60.5547237,60.25090983,59.94709596,59.64328209,59.56688502,59.49048794,59.41409087,59.3376938,59.26129673,59.18489966,59.10850258,59.03210551,58.95570844,58.87931137,58.8029143,58.72651722,58.65012015,58.57372308,58.49732601,58.42092894,58.34453186,58.26813479,58.19173772,58.11534065,58.03894358,57.96254651,57.88614943,57.80975236,57.73335529,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company’s 2050 target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
Occidental Petroleum,United States of America,USA,Oil & Gas,Yes,large,US6745991058,2655408,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,1.5 Degrees,2045,Not Aligned,,2019,Emissions intensity (gCO2e / MJ),,,,78.69102215,80.21780452,79.712502,75.3160725,73.08055813,70.84504377,68.6095294,66.37401503,64.13850067,61.9029863,59.26067808,56.61836985,53.97606163,51.33375341,48.69144518,46.04913696,43.40682874,40.76452051,38.12221229,35.47990407,32.83759584,30.19528762,27.55297939,24.91067117,22.26836295,20.04152665,17.81469036,15.58785406,13.36101777,11.13418147,8.907345179,6.680508884,4.45367259,2.226836295,0.0,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company’s 2025 and 2040 targets cover a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
Oil & Natural Gas,India,IND,Oil & Gas,Yes,large,INE213A01029,6139362,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2018,Emissions intensity (gCO2e / MJ),,,,74.07920845,72.92560949,72.78203155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has not disclosed sufficient data on any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance."
Oil Search,Australia,AUS,Oil & Gas,Yes,large,PG0008579883,6657604,01/11/2021,31/03/2021,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,,,2020,Emissions intensity (gCO2e / MJ),,,,,,63.33277678,62.81101159,63.74406809,63.61527105,63.48647402,63.35767698,63.22887995,63.10008291,62.97128587,62.84248884,62.7136918,62.58489477,62.45609773,62.30583452,62.15557131,62.0053081,61.85504489,61.70478169,61.55451848,61.40425527,61.25399206,61.10372885,60.95346564,60.80320243,60.65293923,60.50267602,60.35241281,60.2021496,60.05188639,59.90162318,59.75135997,59.60109676,59.45083356,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company’s targets cover a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
Oji,Japan,JPN,Paper,No,medium,JP3174410005,6657701,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,Yes,Yes,Yes,No,01/02/2021,23/12/2020,Paper_01/02/2021,Paris Pledges,2014,Paris Pledges,2014,2019,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",0.523,0.517,0.493,0.485,0.481,0.476,0.473,0.472,0.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
Oneok,United States of America,USA,Oil & Gas Distribution,No,unlisted,US6826801036,2130109,01/11/2021,31/03/2021,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orica,Australia,AUS,Other Industrials,No,large,AU000000ORI1,6458001,01/11/2021,31/03/2021,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Origin Energy (Electricity Utility),Australia,AUS,Electricity Utilities,Yes,large,AU000000ORG5,6214861,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Not Aligned,,Not Aligned,,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.778540273,0.771036004,0.776969455,0.774427199,0.796487651,0.841526552,0.838174955,0.819167055,0.800159156,0.781151256,0.762143357,0.721993475,0.681843593,0.641693712,0.60154383,0.561393948,0.521244067,0.481094185,0.440944303,0.400794422,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI's methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensities, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS)."
Origin Energy (Oil & Gas),Australia,AUS,Oil & Gas,No,large,AU000000ORG5,6214861,01/11/2021,31/03/2021,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,National Pledges,2024,,,2018,Emissions intensity (gCO2e / MJ),,69.33425241,71.24200476,67.59864966,69.67087631,68.30196011,67.71982889,67.13769766,66.55556643,65.97343521,62.8148812,59.6563272,56.49777319,53.33921919,50.18066518,47.02211118,43.86355718,40.70500317,37.54644917,34.38789516,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company's 2016 carbon intensity has been calculated by TPI using the company's Scope 3 category 3 2017 emissions figure.
The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s externally sold energy products grow according to the regional or global primary energy supply growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario. The company’s 2022 target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
Orsted,Denmark,DNK,Electricity Utilities,No,large,DK0060094928,BYT16L4,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,1.5 Degrees,2015,Below 2 Degrees,2015,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,0.379844961,0.368055556,0.236467066,0.2025,0.091758624,0.072805223,0.058244179,0.043683134,0.029122089,0.014561045,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
Ovintiv,Canada,CAN,Oil & Gas,No,medium,US69047Q1022,"BL3GRC2, BJ01KB6",01/11/2021,31/03/2021,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2020,Emissions intensity (gCO2e / MJ),,62.66079498,65.71991153,65.22238668,66.78520736,69.55621963,68.0384612,66.87704363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has not disclosed sufficient data on any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance."
PACCAR,United States of America,USA,Other Industrials,Yes,large,US6937181088,2665861,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG&E,United States of America,USA,Electricity Utilities,No,medium,US69331C1080,2689560,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,National Pledges,2013,Paris Pledges,2013,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.078,0.083,0.093,0.067,0.066,0.077,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has disclosed a 2022 emissions target, but it includes significant activities other than electricity generation and therefore cannot be included in TPI's assessment."
PGE,Poland,POL,Electricity Utilities,Yes,medium,PLPGER000010,B544PW9,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Not applicable,No,Yes,No,No,No,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2050,Not Aligned,,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,,,0.991121378,0.958370439,0.941445364,0.910063852,0.87868234,0.847300827,0.815919315,0.784537803,0.753156291,0.721774779,0.690393267,0.659011755,0.627630243,0.59624873,0.564867218,0.533485706,0.502104194,0.470722682,0.43934117,0.407959658,0.376578146,0.345196633,0.313815121,0.282433609,0.251052097,0.219670585,0.188289073,0.156907561,0.125526049,0.094144536,0.062763024,0.031381512,0.0,The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI's methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.
PPG Industries,United States of America,USA,Chemicals,No,large,US6935061076,2698470,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Not applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL,United States of America,USA,Electricity Utilities,Yes,large,US69351T1060,2680905,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,No,Yes,No,Yes,No,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Not Aligned,,Paris Pledges,2049,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,0.868618258,0.817593936,0.779685386,0.794401503,0.803653549,0.764037435,0.774130519,0.761509127,0.748887735,0.736266344,0.723644952,0.71102356,0.698402168,0.685780776,0.673159385,0.660537993,0.647916601,0.635295209,0.622673818,0.610052426,0.597431034,0.584809642,0.572188251,0.559566859,0.546945467,0.534324075,0.521702683,0.495771234,0.469839784,0.443908334,0.417976884,0.392045434,0.366113984,0.340182534,0.314251084,0.288319634,0.262388184,"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI's methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS)."
PTT,Thailand,THA,Oil & Gas,Yes,large,"TH0646010Z00, TH0646010R18","BD0BDH1, 6420408",01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2017,Emissions intensity (gCO2e / MJ),,73.49278012,72.85820986,72.77575649,72.65934181,72.86799446,73.07664712,73.28529977,73.49395243,73.70260509,73.91125774,74.1199104,74.32856305,74.53721571,74.74586837,74.95452102,75.16317368,75.37182633,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s externally sold energy products grow according to the regional or global primary energy supply growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
Panasonic,Japan,JPN,Consumer Goods,Yes,large,JP3866800000,6572707,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pap Y Cart Euro,Spain,ESP,Paper,No,small,ES0168561019,,,,,,,,,,,,,,,,,,,,,,,,,01/11/2018,09/10/2018,Paper_01/11/2018,No or unsuitable disclosure,,No or unsuitable disclosure,,,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pap Y Cart Euro has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
Pemex,Mexico,MEX,Oil & Gas,Yes,unlisted,0,"",01/11/2021,31/03/2021,1,new,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,,,2019,Emissions intensity (gCO2e / MJ),,,73.98339299,75.27940937,74.36883376,74.95426345,76.09024207,76.0124778,75.93471354,75.85694927,75.80130484,75.74566041,75.69001598,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
Pepsico,United States of America,USA,Consumer Goods,Yes,large,US7134481081,2681511,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petrobras,Brazil,BRA,Oil & Gas,Yes,large,"BRPETRACNPR6, BRPETRACNOR9, US71654V4086, US71654V1017","2684532, 2682365, 2616580, 2683410",01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2020,Emissions intensity (gCO2e / MJ),,78.75699512,78.09011329,77.35186318,77.43340857,77.06814135,76.83537563,77.40816276,77.35943798,77.31071319,77.2619884,77.21326362,77.16453883,77.11581404,77.06708926,77.01836447,76.96963969,76.9209149,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s externally sold energy products grow according to the regional or global primary energy supply growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure. The company has set further targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology."
Petrochina,China,CHN,Oil & Gas,Yes,large,"CNE1000003W8, CNE1000007Q1, US71646E1001","6226576, B28SLD9, 2568841, BP3R206",01/11/2021,31/03/2021,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2020,Emissions intensity (gCO2e / MJ),,,,,,,73.38396397,73.55679065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology."
Philips,Netherlands,NLD,Other Industrials,Yes,large,NL0000009538,5986622,01/11/2021,31/03/2021,4,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillips 66,United States of America,USA,Oil & Gas,Yes,large,US7185461040,B78C4Y8,01/11/2021,31/03/2021,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2019,Emissions intensity (gCO2e / MJ),,80.40810249,80.807345,80.95789336,80.89178218,81.15467018,80.78728982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has not disclosed sufficient data on any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance."
Pinnacle West Capital,United States of America,USA,Electricity Utilities,No,medium,US7234841010,2048804,01/11/2021,31/03/2021,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,Yes,No,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2050,Below 2 Degrees,2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.543794245,0.553051612,0.539107737,0.405057427,0.431516677,0.473,0.458,0.417758232,0.408828749,0.399899266,0.390969783,0.382040301,0.373110818,0.364181335,0.355251852,0.346322369,0.337392886,0.328463403,0.319533921,0.310604438,0.293348636,0.276092833,0.258837031,0.241581229,0.224325427,0.207069625,0.189813823,0.172558021,0.155302219,0.138046417,0.120790615,0.103534813,0.08627901,0.069023208,0.051767406,0.034511604,0.017255802,0.0,"The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS)."
